"fs_id","fid","pid","sid","level","individual_level","fs_answer","flagged","skip","timestamp"
"90","7","0","100","0","1","Positivos:

-El material es mas didáctico 
-Se pueden ampliar los temas que se tratan
-Permite interactuar mas con la gente

Negativos:
-Mucha exposición a las pantallas puede ser perjudicial para la salud
-Puede facilitar mas a los estudiantes a distraerse con cosas que no tienen que ver con la clase
-El uso habitual de dispositivos tecnológicos puede llevar a una falta de aprendizaje en escritura y lectura","0","0","1664270715"
"102","7","0","101","0","1","Un dels aspectes positius que implica l'evolució tecnològica en l'àmbit de l'eduació, és que permet l'accés d'aquesta a infants en siutacions més desfavorables, per exemple a nens que viuen en indrets on hi han poques escoles i molt lluny, infants que han d'ajudar en l'economia familiar i per tant, només poden anar a classe per la tarda o nens que s'han de quedar a casa per a cuidar els seus germans o familiars, un altre benefici es poder utilitzar recursos didàctics tecnològics que permetin un aprenantatge més divertit i entretingut, per acabar podria ser que la tecnologia ens permeti oferir una educació més personalitzada a recursos a aquells infants amb problemes d'aprenentatge com dèficit d'atenció, disl·lèxia, dil·làlia, etc.

Tot i així també hi han implicacions negatives, com per exemple que la capacitat dels nens i nenes es vegi afectada, per l'ús diàri de teconologies, com per exemple el TikTok, fent que el temps en el que es poden concentrar sigui menor, també pot fer que s'esbiaixi encara més la diferència entre les escoles privades i públiques, i els infants amb més i menys recursos econòmics, ja que les escoles privades o concertades, poden accedir a tecnologies més cares, oferint una educació de més qualitat, i els infants amb menys recursos es poden veure afectats, ja que no es poden permetre les eines necessàries per aprendre a l'escola, per últim una desventatge pot ser la pèrdua de la familiaritat entre l'alumne i el professorat, ja que queden dividits per una pantalla, reduint el contacte humà i potser veient-se afectat l'aprenentatge dels alumnes.","0","0","1664270742"
"74","7","0","102","0","1","Cas d estudi

Positius:

Utilitzant IA podries optimitzar els estudis i adaptar-los a cada persona seguint el mètode d'aprenentatge que més I'afavoreix.

Les activitats interactives podran ser més dinàmiques i productives, aconseguint així fer els estudis més agradables de cursar.

Els estudis seran més accesibles per gent amb menys recursos econòmics mitjançant la cessió de dispositius per part del centre que gràcies al progrés tecnològic seràn menys cars.

Negatius:

Els alumnes tindran més eines per evitar treballar i graduar-se sense tant esforç requerit.

La possible aplicació d'avaluació automàtica a través de inteligencies artificials tindrà bastants errors al inici augmentant el risc de puntuar incorrectament, a l'alça o a la baixa, les entregues o exàmens.","0","0","1664270642"
"120","7","0","103","0","1","Aspectos positivos:
- La evolución de la tecnología puede ayudar a incrementar el nombre de actividades interactivas para los alumnos, proporcionando una educación de mejor calidad.
- También ayudaría desarrollar mas programas para aquellos alumnos que estén interesados en el ámbito de las TIC, creando nuevas asignaturas tanto optativas como básicas. De esta manera los alumnos tendrían mas conocimientos sobre estos temas i podrían llegar a 

Aspectos negativos: 
- No todos los centros tendrían los mismos recursos, lo cual podría llegar a crear desigualdades i diferenciación entre los alumnos de distinto poder económico.
- No todo el","0","0","1664270755"
"104","7","0","104","0","1","Els aspectes positius que podrien afectar la educació de futures generacions, podrien ser, per exemple l'us de les noves tecnologies per crear eines que s'adaptin millor a cada assignatura, ya siguin presentacions, o aplicacions personalitzades. A més, els alumnes poden fer un ús de les tecnologies, ya sigui per informarse sobre un tema del q estiguin aprenent a les classes o per estudiar algun tema que cridi la seva atenció, pel seu conte.
Pel que fa als aspectes negatius, les noves tecnologies a vegades fan que alguns usuaris puguin trobar informacio poc valida o erronia, ya sigui per culpa d'una mala educació de les tecnologies de la informació i la comunicació (TIC).","0","0","1664270746"
"122","7","0","105","0","1","Aspectes Positius:
-Més disposició d'eines i les tindràs més a mà.
-Més diversitat de temes ja que hi haurà un sistema lliure de publicació i tothom podrà accedir a diversos estudis.
- La democratització del estudis comportarà una tendència on els estudiants elegiran el que millor els ensenya sobre una assignatura y a més, els millors estudiants seràn recompensats amb premis dins el sistema.

Aspectes Negatius:
- La qualitat dels estudis serà molt variable ja que tothom publica la seva versió d'educació i no hi hauran regulacions que especifiquin com s'ha d'educar sobre un tema en concret.
- La informació pot estar manipulada per un 3r agent i pot donar a lloc una versió tergiversada del estudi.
- Pot haver una tendència a subestimar els articles i estudis antics ja que tothom voldrà estudiar els ulti
-","0","0","1664270755"
"79","7","0","106","0","1","Aspectes positius:
- Aplicació del coneixement mitjançant noves eines (feines que es corregeixin automàticament, per exemple)
- Interrelació amb altres escoles i alumnes d'arreu del món
- Educació per al món real, on cada cop hi ha menys paper i es tendeix més a fer tots els tràmits (banquaris, d'hisenda, polítics, etc) online

Aspectes negatius:
- Possible abús de les pantalles amb els conseqüents danys que això pot provocar als ulls dels nens
- Que enganyin el professorat i perdin temps jugant a videojocs o connectats a xarxes socials
- Que es discrimini la gent per les seves notes (sense tenir en compte altres competències que no sempre s'adquireixen a l'escola)","0","0","1664270662"
"67","7","0","107","0","1","Fent servir noves tecnologies que segurament a dia d’avui estan en desenvolupament:
(POSITIVES)
-Es podrà optimitzar el temps de classes per fer-les més productives.
-Es podrà dinamitzar l’educació amb activitats interactives.
-Amb l’increment en l’ús de tauletes digitals que conseqüentment produirà un descens en la compra de llibretes, es millorarà la sostenibilitat del planeta. Així disminuirà la tala excessiva d’arbres.
(NEGATIVES)
-Incrementarà indirectament la gran dependència dels joves amb les noves tecnologies. I els efectes perjudicials que comporta.
-Sorgiran desigualtats a l'aula a causa de la diferent posició econòmica de les famílies. Això repercutirà en el creixement personal de l'estudiant.
-Es substituiran plaçes de professorat.","0","0","1664270582"
"81","7","0","108","0","1","Positius:
 - La tecnología del futur obrirà nous camps de coneixement per estudiar.
 - Les noves tecnologies ajudaran cada vegada més a l'obtenció de coneixements i a l'aprenentatge.
 - L'accés a la informació i recerca serà cada vegada més fàcil

Negatius:
 - Molts aspectes de l'educació estaran relacionat amb la tecnologia i es crearà una dependència.
 - Molts àmbits de la nostra vida estaran monitoritzats per la tecnologia.
 - Molta informació s'haurà de contrastar constantment per tal de no quedar-se desactualitzats.","0","0","1664270670"
"116","7","0","109","0","1","Positivos:
- Para los mas jóvenes, la educación mediante la tecnología, puede llegar a ser mas fácil de entender las cosas y mas cómodo para ellos.
- Con la tecnología se puede llegar a mas diversidad de asignaturas. 
- Evita el uso de papel, ayudando al medio ambiente.
Negativos:
- El uso de tecnología en las clases puede ser un método de distracción para los estudiantes
- El uso excesivo de ordenadores, móviles,etc.. Puede perjudicar a los ojos.
- Un aspecto importante en la educacion es el aprendizaje en la escritura
-","0","0","1664270755"
